Категорія: Усі категорії

Тиждень,Python: (Україна),Java: (Україна)
2016-04-17,41,100
2016-04-24,24,93
2016-05-01,28,75
2016-05-08,29,83
2016-05-15,36,97
2016-05-22,27,95
2016-05-29,35,95
2016-06-05,32,91
2016-06-12,31,96
2016-06-19,30,90
2016-06-26,29,87
2016-07-03,30,77
2016-07-10,24,65
2016-07-17,25,72
2016-07-24,26,67
2016-07-31,33,80
2016-08-07,34,76
2016-08-14,27,70
2016-08-21,30,69
2016-08-28,30,68
2016-09-04,25,71
2016-09-11,33,67
2016-09-18,29,89
2016-09-25,37,78
2016-10-02,32,79
2016-10-09,30,71
2016-10-16,30,77
2016-10-23,32,85
2016-10-30,28,73
2016-11-06,40,88
2016-11-13,33,92
2016-11-20,35,69
2016-11-27,35,85
2016-12-04,38,73
2016-12-11,33,73
2016-12-18,35,79
2016-12-25,34,72
2017-01-01,29,72
2017-01-08,36,75
2017-01-15,43,74
2017-01-22,31,80
2017-01-29,30,87
2017-02-05,40,85
2017-02-12,31,85
2017-02-19,42,75
2017-02-26,39,88
2017-03-05,30,85
2017-03-12,35,91
2017-03-19,38,97
2017-03-26,39,89
2017-04-02,37,82
2017-04-09,38,72
2017-04-16,37,74
2017-04-23,39,77
2017-04-30,33,63
2017-05-07,33,68
2017-05-14,32,71
2017-05-21,30,65
2017-05-28,39,73
2017-06-04,34,60
2017-06-11,34,75
2017-06-18,32,65
2017-06-25,29,70
2017-07-02,31,68
2017-07-09,39,77
2017-07-16,29,70
2017-07-23,37,68
2017-07-30,27,64
2017-08-06,35,65
2017-08-13,35,70
2017-08-20,22,53
2017-08-27,32,61
2017-09-03,34,63
2017-09-10,39,56
2017-09-17,33,73
2017-09-24,42,62
2017-10-01,40,73
2017-10-08,40,61
2017-10-15,37,66
2017-10-22,35,73
2017-10-29,34,73
2017-11-05,40,67
2017-11-12,37,70
2017-11-19,38,63
2017-11-26,38,62
2017-12-03,41,66
2017-12-10,42,60
2017-12-17,36,61
2017-12-24,30,62
2017-12-31,30,54
2018-01-07,27,58
2018-01-14,32,52
2018-01-21,34,61
2018-01-28,35,54
2018-02-04,29,61
2018-02-11,30,60
2018-02-18,27,61
2018-02-25,37,55
2018-03-04,31,62
2018-03-11,37,55
2018-03-18,40,61
2018-03-25,42,60
2018-04-01,43,64
2018-04-08,33,57
2018-04-15,41,63
2018-04-22,43,54
2018-04-29,41,58
2018-05-06,40,54
2018-05-13,30,63
2018-05-20,37,53
2018-05-27,48,63
2018-06-03,40,56
2018-06-10,34,63
2018-06-17,46,55
2018-06-24,34,52
2018-07-01,35,60
